epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,67.3874,2.4972,4.80433,1.34311,0.30965,0.4095,0.2217,0.08097,2.62689,3.61245,1.69319,0.000553046,0.000553046,0.000553046
2,149.689,2.56563,1.93642,1.35238,0.41378,0.36547,0.27965,0.07148,2.77817,5.06415,1.65448,0.00109774,0.00109774,0.00109774
